Date,Transmitter,Receiver,latitude,longitude,station,Arrival,Departure,Detections,residencetime
2016-11-11,A69-1601-52644,VR2W-122336,51.07363,4.19007,s-4c,2016-11-11T19:39:00Z,2016-11-11T19:56:00Z,20,1020
2016-11-11,A69-1601-52644,VR2W-122367,51.05593,4.20024,s-4b,2016-11-11T19:01:00Z,2016-11-11T19:10:00Z,6,540
2016-11-11,A69-1601-52644,VR2W-122363,51.03203,4.18166,s-4a,2016-11-11T23:33:00Z,2016-11-11T23:35:00Z,3,120
2016-11-11,A69-1601-52644,VR2W-122336,51.07363,4.19007,s-4c,2016-11-11T21:03:00Z,2016-11-11T21:46:00Z,44,2580
2016-11-11,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-11T14:50:00Z,2016-11-11T15:07:00Z,6,1020
2016-11-11,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-11T13:01:00Z,2016-11-11T13:17:00Z,9,960
2016-11-12,A69-1601-52644,VR2W-122367,51.05593,4.20024,s-4b,2016-11-12T23:18:00Z,2016-11-12T23:35:00Z,8,1020
2016-11-12,A69-1601-52644,VR2W-122336,51.07363,4.19007,s-4c,2016-11-12T22:23:00Z,2016-11-12T22:55:00Z,33,1920
2016-11-12,A69-1601-52644,VR2W-122367,51.05593,4.20024,s-4b,2016-11-12T18:47:00Z,2016-11-12T18:56:00Z,7,540
2016-11-12,A69-1601-52644,VR2W-115430,51.09258,4.17083,s-5,2016-11-12T21:47:00Z,2016-11-12T21:50:00Z,3,180
2016-11-12,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-12T14:32:00Z,2016-11-12T15:25:00Z,36,3180
2016-11-12,A69-1601-52644,VR2W-122336,51.07363,4.19007,s-4c,2016-11-12T19:31:00Z,2016-11-12T19:59:00Z,22,1680
